ball_No,over,bowler,batsman,run,wicket,match_ref_id,bowlerType,extraRunType,extraRun,outBatsman
1,1,p12,p1,2,N/A,1,fast,N/A,0,N/A
2,1,p12,p1,1,N/A,1,fast,N/A,0,N/A
3,1,p12,p2,1,N/A,1,fast,N/A,0,N/A
4,1,p12,p1,2,N/A,1,fast,N/A,0,N/A
5,1,p12,p1,2,N/A,1,fast,N/A,0,N/A
6,1,p12,p2,0,N/A,1,fast,N/A,0,N/A
7,2,p13,p1,2,N/A,1,spin,N/A,0,N/A
8,2,p13,p1,2,N/A,1,spin,N/A,0,N/A
9,2,p13,p1,1,N/A,1,spin,N/A,0,N/A
10,2,p13,p2,2,N/A,1,spin,N/A,0,N/A
11,2,p13,p2,2,N/A,1,spin,N/A,0,N/A
12,2,p13,p1,1,N/A,1,spin,N/A,0,N/A
13,3,p12,p1,1,N/A,1,fast,N/A,0,N/A
14,3,p12,p2,2,N/A,1,fast,N/A,0,N/A
15,3,p12,p2,2,N/A,1,fast,N/A,0,N/A
16,3,p12,p2,2,N/A,1,fast,N/A,0,N/A
17,3,p12,p2,0,N/A,1,fast,N/A,0,N/A
18,3,p12,p2,1,N/A,1,fast,N/A,0,N/A
19,4,p15,p2,1,N/A,1,fast,N/A,0,N/A
20,4,p15,p1,2,N/A,1,fast,N/A,0,N/A
21,4,p15,p1,2,N/A,1,fast,N/A,0,N/A
22,4,p15,p1,4,N/A,1,fast,N/A,0,N/A
23,4,p15,p1,3,N/A,1,fast,N/A,0,N/A
24,4,p15,p2,6,N/A,1,fast,N/A,0,N/A
25,5,p12,p1,0,bowled_out,1,spin,N/A,0,p1
26,5,p13,p3,1,N/A,1,spin,N/A,0,N/A
27,5,p14,p3,0,N/A,1,spin,N/A,0,N/A
28,5,p15,p3,0,N/A,1,spin,N/A,0,N/A
29,5,p16,p3,0,catch,1,spin,N/A,0,p3
30,5,p17,p2,1,run_out,1,spin,N/A,0,p2
31,6,p12,p4,2,N/A,1,fast,N/A,0,N/A
32,6,p12,p4,1,N/A,1,fast,N/A,0,N/A
33,6,p12,p5,1,N/A,1,fast,N/A,0,N/A
34,6,p12,p4,2,N/A,1,fast,N/A,0,N/A
35,6,p12,p4,2,N/A,1,fast,N/A,0,N/A
36,6,p12,p5,0,N/A,1,fast,N/A,0,N/A
37,7,p13,p4,2,N/A,1,spin,N/A,0,N/A
38,7,p13,p4,2,N/A,1,spin,N/A,0,N/A
39,7,p13,p4,1,N/A,1,spin,N/A,0,N/A
40,7,p13,p5,2,N/A,1,spin,N/A,0,N/A
41,7,p13,p5,2,N/A,1,spin,N/A,0,N/A
42,7,p13,p5,2,N/A,1,spin,N/A,0,N/A
43,8,p12,p4,1,N/A,1,fast,N/A,0,N/A
44,8,p12,p5,2,N/A,1,fast,N/A,0,N/A
45,8,p12,p5,2,N/A,1,fast,N/A,0,N/A
46,8,p12,p5,2,N/A,1,fast,N/A,0,N/A
47,8,p12,p5,3,N/A,1,fast,N/A,0,N/A
48,8,p12,p5,1,N/A,1,fast,N/A,0,N/A
49,9,p15,p5,1,N/A,1,fast,N/A,0,N/A
50,9,p15,p4,2,N/A,1,fast,N/A,0,N/A
51,9,p15,p4,2,N/A,1,fast,N/A,0,N/A
52,9,p15,p4,4,N/A,1,fast,N/A,0,N/A
53,9,p15,p4,3,N/A,1,fast,N/A,0,N/A
54,9,p15,p5,1,N/A,1,fast,N/A,0,N/A
55,10,p12,p5,0,N/A,1,fast,N/A,0,N/A
56,10,p12,p5,1,N/A,1,fast,N/A,0,N/A
57,10,p12,p4,0,N/A,1,fast,N/A,0,N/A
58,10,p12,p4,0,N/A,1,fast,N/A,0,N/A
59,10,p12,p4,0,N/A,1,fast,N/A,0,N/A
60,10,p12,p4,1,N/A,1,fast,N/A,0,N/A
61,11,p16,p4,2,N/A,1,spin,N/A,0,N/A
62,11,p16,p4,1,N/A,1,spin,N/A,0,N/A
63,11,p16,p5,1,N/A,1,spin,N/A,0,N/A
64,11,p16,p4,2,N/A,1,spin,N/A,0,N/A
65,11,p16,p4,2,N/A,1,spin,N/A,0,N/A
66,11,p16,p4,3,N/A,1,spin,N/A,0,N/A
67,12,p17,p5,2,N/A,1,fast,N/A,0,N/A
68,12,p17,p5,2,N/A,1,fast,N/A,0,N/A
69,12,p17,p5,1,N/A,1,fast,N/A,0,N/A
70,12,p17,p5,2,N/A,1,fast,N/A,0,N/A
71,12,p17,p5,0,N/A,1,fast,N/A,0,N/A
72,12,p17,p5,0,N/A,1,fast,N/A,0,N/A
73,13,p16,p4,1,N/A,1,spin,N/A,0,N/A
74,13,p16,p5,2,N/A,1,spin,N/A,0,N/A
75,13,p16,p5,2,N/A,1,spin,N/A,0,N/A
76,13,p16,p5,2,N/A,1,spin,N/A,0,N/A
77,13,p16,p5,3,N/A,1,spin,N/A,0,N/A
78,13,p16,p4,2,N/A,1,spin,N/A,0,N/A
79,14,p15,p5,0,N/A,1,fast,N/A,0,N/A
80,14,p15,p5,2,N/A,1,fast,N/A,0,N/A
81,14,p15,p5,2,N/A,1,fast,N/A,0,N/A
82,14,p15,p5,4,N/A,1,fast,N/A,0,N/A
83,14,p15,p4,3,N/A,1,fast,N/A,0,N/A
84,14,p15,p5,6,N/A,1,fast,N/A,0,N/A
85,15,p14,p4,0,N/A,1,fast,N/A,0,N/A
86,15,p14,p4,1,N/A,1,fast,N/A,0,N/A
87,15,p14,p5,0,N/A,1,fast,N/A,0,N/A
88,15,p14,p5,0,N/A,1,fast,N/A,0,N/A
89,15,p14,p5,0,N/A,1,fast,N/A,0,N/A
90,15,p14,p5,1,N/A,1,fast,N/A,0,N/A
91,16,p12,p4,2,N/A,1,fast,N/A,0,N/A
92,16,p12,p4,1,N/A,1,fast,N/A,0,N/A
93,16,p12,p5,1,N/A,1,fast,N/A,0,N/A
94,16,p12,p4,2,N/A,1,fast,N/A,0,N/A
95,16,p12,p4,2,N/A,1,fast,N/A,0,N/A
96,16,p12,p5,0,catch_out,1,fast,N/A,0,p5
97,17,p13,p4,2,N/A,1,spin,N/A,0,N/A
98,17,p13,p4,2,N/A,1,spin,N/A,0,N/A
99,17,p13,p4,1,N/A,1,spin,N/A,0,N/A
100,17,p13,p6,2,N/A,1,spin,N/A,0,N/A
101,17,p13,p6,2,N/A,1,spin,N/A,0,N/A
102,17,p13,p6,2,N/A,1,spin,N/A,0,N/A
103,18,p16,p4,1,N/A,1,spin,N/A,0,N/A
104,18,p16,p6,2,N/A,1,spin,N/A,0,N/A
105,18,p16,p6,0,N/A,1,spin,N/A,0,N/A
106,18,p16,p6,0,N/A,1,spin,N/A,0,N/A
107,18,p16,p6,3,N/A,1,spin,N/A,0,N/A
108,18,p16,p5,2,N/A,1,spin,N/A,0,N/A
109,19,p15,p5,1,N/A,1,fast,N/A,0,N/A
110,19,p15,p6,0,N/A,1,fast,N/A,0,N/A
111,19,p15,p4,2,N/A,1,fast,N/A,0,N/A
112,19,p15,p4,0,N/A,1,fast,N/A,0,N/A
113,19,p15,p4,1,N/A,1,fast,N/A,0,N/A
